Timestamp,date,time,Longitude,Latitude,Operatorname,NetworkTech,NetworkMode,RSRP,RSRQ,SNR,DL_bitrate,UL_bitrate,Eid,experiment
2024.12.10_07.59.26,2024-12-10,07:59:26,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,65,46,10id,1
2024.12.10_07.59.27,2024-12-10,07:59:27,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,4,6,10id,1
2024.12.10_07.59.28,2024-12-10,07:59:28,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,3,5,10id,1
2024.12.10_07.59.29,2024-12-10,07:59:29,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,28260,239,10id,1
2024.12.10_07.59.30,2024-12-10,07:59:30,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,5,6,10id,1
2024.12.10_07.59.31,2024-12-10,07:59:31,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,70,55,10id,1
2024.12.10_07.59.32,2024-12-10,07:59:32,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,36018,254,10id,1
2024.12.10_07.59.33,2024-12-10,07:59:33,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,4,6,10id,1
2024.12.10_07.59.34,2024-12-10,07:59:34,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,1,5,10id,1
2024.12.10_07.59.35,2024-12-10,07:59:35,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,8,6,10id,1
2024.12.10_07.59.36,2024-12-10,07:59:36,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,35988,219,10id,1
2024.12.10_07.59.37,2024-12-10,07:59:37,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,45,45,10id,1
2024.12.10_07.59.38,2024-12-10,07:59:38,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,3,6,10id,1
2024.12.10_07.59.39,2024-12-10,07:59:39,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,4,5,10id,1
2024.12.10_07.59.40,2024-12-10,07:59:40,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,7250,53,10id,1
2024.12.10_07.59.41,2024-12-10,07:59:41,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,27709,208,10id,1
2024.12.10_07.59.42,2024-12-10,07:59:42,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,3,5,10id,1
2024.12.10_07.59.43,2024-12-10,07:59:43,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,5,6,10id,1
2024.12.10_07.59.44,2024-12-10,07:59:44,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,4,6,10id,1
2024.12.10_07.59.45,2024-12-10,07:59:45,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,30789,254,10id,1
2024.12.10_07.59.46,2024-12-10,07:59:46,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,16,8,10id,1
2024.12.10_07.59.47,2024-12-10,07:59:47,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,7,20,10id,1
2024.12.10_07.59.48,2024-12-10,07:59:48,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,124,55,10id,1
2024.12.10_07.59.49,2024-12-10,07:59:49,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,38595,264,10id,1
2024.12.10_07.59.50,2024-12-10,07:59:50,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,161,71,10id,1
2024.12.10_07.59.51,2024-12-10,07:59:51,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,108,51,10id,1
2024.12.10_07.59.52,2024-12-10,07:59:52,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,12,6,10id,1
2024.12.10_07.59.53,2024-12-10,07:59:53,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,749,18,10id,1
2024.12.10_07.59.54,2024-12-10,07:59:54,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,46237,245,10id,1
2024.12.10_07.59.55,2024-12-10,07:59:55,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,168,69,10id,1
2024.12.10_07.59.56,2024-12-10,07:59:56,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,3,5,10id,1
2024.12.10_07.59.57,2024-12-10,07:59:57,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,6,18,10id,1
2024.12.10_07.59.58,2024-12-10,07:59:58,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,42986,340,10id,1
2024.12.10_07.59.59,2024-12-10,07:59:59,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,11,7,10id,1
