Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,DL_bitrate,Operatorname,SourceFile
2025.01.18_17.40.25,-90.165324,29.955495,5G,5G NSA,-92,-11,13.0,38147,X,18ma
2025.01.18_17.40.26,-90.165233,29.955602,5G,5G NSA,-92,-11,13.0,3,X,18ma
2025.01.18_17.40.27,-90.165233,29.955602,5G,5G NSA,-92,-11,13.0,3,X,18ma
2025.01.18_17.40.27,-90.165134,29.955711,5G,5G NSA,-92,-11,13.0,5,X,18ma
2025.01.18_17.40.28,-90.165134,29.955711,5G,5G NSA,-92,-11,13.0,5,X,18ma
2025.01.18_17.40.28,-90.165034,29.955813,5G,5G NSA,-92,-11,13.0,48734,X,18ma
2025.01.18_17.40.29,-90.165034,29.955813,5G,5G NSA,-92,-11,13.0,48734,X,18ma
2025.01.18_17.40.29,-90.164927,29.95591,5G,5G NSA,-92,-11,13.0,45,X,18ma
2025.01.18_17.40.30,-90.164927,29.95591,5G,5G NSA,-92,-11,13.0,45,X,18ma
2025.01.18_17.40.30,-90.16481,29.956003,5G,5G NSA,-92,-11,13.0,11510,X,18ma
2025.01.18_17.40.31,-90.16481,29.956003,5G,5G NSA,-92,-11,13.0,11510,X,18ma
2025.01.18_17.40.31,-90.16469,29.956098,5G,5G NSA,-92,-11,13.0,50390,X,18ma
2025.01.18_17.40.32,-90.16469,29.956098,5G,5G NSA,-92,-11,13.0,50390,X,18ma
2025.01.18_17.40.32,-90.164575,29.956185,5G,5G NSA,-92,-11,13.0,50390,X,18ma
2025.01.18_17.40.33,-90.164575,29.956185,5G,5G NSA,-92,-11,13.0,36084,X,18ma
2025.01.18_17.40.33,-90.16445,29.956269,5G,5G NSA,-92,-11,13.0,36084,X,18ma
2025.01.18_17.40.34,-90.16445,29.956269,5G,5G NSA,-92,-11,13.0,54,X,18ma
2025.01.18_17.40.34,-90.164325,29.956355,5G,5G NSA,-92,-11,13.0,54,X,18ma
2025.01.18_17.40.35,-90.164325,29.956355,5G,5G NSA,-92,-11,13.0,163,X,18ma
2025.01.18_17.40.35,-90.164195,29.956445,5G,5G NSA,-92,-11,13.0,163,X,18ma
2025.01.18_17.40.35,-90.164195,29.956445,5G,5G NSA,-92,-11,13.0,3407,X,18ma
2025.01.18_17.40.36,-90.164064,29.956535,5G,5G NSA,-92,-11,13.0,3407,X,18ma
2025.01.18_17.40.36,-90.164064,29.956535,5G,5G NSA,-92,-11,13.0,26,X,18ma
2025.01.18_17.40.37,-90.163931,29.956625,5G,5G NSA,-92,-11,13.0,26,X,18ma
2025.01.18_17.40.38,-90.163931,29.956625,5G,5G NSA,-84,-11,18.0,18459,X,18ma
2025.01.18_17.40.38,-90.163791,29.956718,5G,5G NSA,-84,-11,18.0,18459,X,18ma
2025.01.18_17.40.39,-90.163791,29.956718,5G,5G NSA,-84,-11,18.0,16878,X,18ma
2025.01.18_17.40.39,-90.163655,29.956815,5G,5G NSA,-84,-11,18.0,16878,X,18ma
2025.01.18_17.40.40,-90.163655,29.956815,5G,5G NSA,-84,-11,18.0,3,X,18ma
2025.01.18_17.40.40,-90.16352,29.95691,5G,5G NSA,-84,-11,18.0,3,X,18ma
2025.01.18_17.40.41,-90.16352,29.95691,5G,5G NSA,-84,-11,18.0,3,X,18ma
2025.01.18_17.40.41,-90.163377,29.956999,5G,5G NSA,-84,-11,18.0,3,X,18ma
2025.01.18_17.40.42,-90.163377,29.956999,5G,5G NSA,-84,-11,18.0,65,X,18ma
2025.01.18_17.40.42,-90.163224,29.957092,5G,5G NSA,-84,-11,18.0,65,X,18ma
2025.01.18_17.40.43,-90.163224,29.957092,5G,5G NSA,-84,-11,18.0,4,X,18ma
2025.01.18_17.40.43,-90.163068,29.957185,5G,5G NSA,-84,-11,18.0,4,X,18ma
2025.01.18_17.40.44,-90.163068,29.957185,5G,5G NSA,-84,-11,18.0,29940,X,18ma
2025.01.18_17.40.44,-90.16291,29.957268,5G,5G NSA,-84,-11,18.0,29940,X,18ma
2025.01.18_17.40.45,-90.16291,29.957268,5G,5G NSA,-84,-11,18.0,3,X,18ma
2025.01.18_17.40.45,-90.162748,29.95735,5G,5G NSA,-84,-11,18.0,3,X,18ma
2025.01.18_17.40.46,-90.162748,29.95735,5G,5G NSA,-84,-11,18.0,3,X,18ma
2025.01.18_17.40.46,-90.162581,29.957427,5G,5G NSA,-84,-11,18.0,3,X,18ma
2025.01.18_17.40.47,-90.162581,29.957427,5G,5G NSA,-84,-11,18.0,4712,X,18ma
2025.01.18_17.40.47,-90.16241,29.957505,5G,5G NSA,-84,-11,18.0,4712,X,18ma
2025.01.18_17.40.48,-90.16241,29.957505,5G,5G NSA,-84,-11,18.0,4,X,18ma
2025.01.18_17.40.48,-90.162238,29.957583,5G,5G NSA,-84,-11,18.0,4,X,18ma
2025.01.18_17.40.49,-90.162238,29.957583,5G,5G NSA,-84,-11,18.0,6,X,18ma
2025.01.18_17.40.49,-90.162066,29.95766,5G,5G NSA,-84,-11,18.0,6,X,18ma
2025.01.18_17.40.50,-90.162066,29.95766,5G,5G NSA,-84,-11,18.0,3,X,18ma
2025.01.18_17.40.50,-90.161897,29.957736,5G,5G NSA,-84,-11,18.0,3,X,18ma
2025.01.18_17.40.51,-90.161897,29.957736,5G,5G NSA,-84,-11,18.0,4,X,18ma
2025.01.18_17.40.51,-90.16173,29.95781,5G,5G NSA,-84,-11,18.0,4,X,18ma
2025.01.18_17.40.52,-90.16173,29.95781,5G,5G NSA,-84,-11,18.0,3,X,18ma
2025.01.18_17.40.52,-90.161556,29.957888,5G,5G NSA,-84,-11,18.0,3,X,18ma
2025.01.18_17.40.53,-90.161556,29.957888,5G,5G NSA,-84,-11,18.0,4,X,18ma
2025.01.18_17.40.53,-90.161391,29.957961,5G,5G NSA,-84,-11,18.0,4,X,18ma
2025.01.18_17.40.54,-90.161391,29.957961,5G,5G NSA,-84,-11,18.0,104,X,18ma
2025.01.18_17.40.54,-90.161218,29.958019,5G,5G NSA,-84,-11,18.0,104,X,18ma
2025.01.18_17.40.55,-90.161218,29.958019,5G,5G NSA,-84,-11,18.0,25743,X,18ma
2025.01.18_17.40.55,-90.161047,29.95809,5G,5G NSA,-84,-11,18.0,25743,X,18ma
2025.01.18_17.40.56,-90.161047,29.95809,5G,5G NSA,-84,-11,18.0,96,X,18ma
2025.01.18_17.40.56,-90.160875,29.958147,5G,5G NSA,-84,-11,18.0,96,X,18ma
2025.01.18_17.40.57,-90.160875,29.958147,5G,5G NSA,-84,-11,18.0,3,X,18ma
2025.01.18_17.40.57,-90.160703,29.958211,5G,5G NSA,-84,-11,18.0,3,X,18ma
2025.01.18_17.40.58,-90.160703,29.958211,5G,5G NSA,-84,-11,18.0,4,X,18ma
2025.01.18_17.40.58,-90.160523,29.958272,5G,5G NSA,-84,-11,18.0,4,X,18ma
2025.01.18_17.40.59,-90.160523,29.958272,5G,5G NSA,-84,-11,18.0,3,X,18ma
2025.01.18_17.40.59,-90.160344,29.95834,5G,5G NSA,-84,-11,18.0,3,X,18ma
2025.01.18_17.41.00,-90.160344,29.95834,5G,5G NSA,-84,-11,18.0,5,X,18ma
2025.01.18_17.41.00,-90.160173,29.958404,5G,5G NSA,-84,-11,18.0,5,X,18ma
2025.01.18_17.41.01,-90.160173,29.958404,5G,5G NSA,-84,-11,18.0,3,X,18ma
2025.01.18_17.41.01,-90.160009,29.958456,5G,5G NSA,-84,-11,18.0,3,X,18ma
2025.01.18_17.41.02,-90.160009,29.958456,5G,5G NSA,-84,-11,18.0,3,X,18ma
2025.01.18_17.41.02,-90.159837,29.958516,5G,5G NSA,-84,-11,18.0,3,X,18ma
2025.01.18_17.41.03,-90.159837,29.958516,5G,5G NSA,-84,-11,18.0,3,X,18ma
2025.01.18_17.41.03,-90.159668,29.95857,5G,5G NSA,-84,-11,18.0,3,X,18ma
2025.01.18_17.41.04,-90.159668,29.95857,5G,5G NSA,-84,-11,18.0,4,X,18ma
